barrio,Air_Quality_Score,Complaints_Score,Noise_Score,Services_Score,Mobility_Score,UQI
la creu coberta,35.657478911607996,85.24451939291737,50.0,14.814814814814813,1.6339869281045756,39.17
la fonteta s.lluis,30.216470071232493,93.929173693086,100.0,9.25925925925926,4.901960784313726,48.93
rafalell-vistabella,59.256523693034204,100.0,50.0,0.0,0.0,44.81
cami de vera,59.256523693034204,87.68971332209105,50.0,20.37037037037037,4.901960784313726,47.16
benimamet,41.28065879331086,69.05564924114671,50.0,25.92592592592593,3.2679738562091507,39.81
beniferri,41.28065879331086,92.58010118043845,50.0,3.7037037037037033,6.862745098039216,40.61
el palmar,50.77154301360144,98.1450252951096,50.0,7.4074074074074066,0.0,43.8
el saler,50.77154301360144,91.2310286677909,94.82352941176471,5.555555555555555,0.0,51.01
el perellonet,50.77154301360144,85.58178752107925,50.0,0.0,0.0,39.81
ciutat fallera,41.28065879331086,85.32883642495784,82.94117647058823,14.814814814814813,5.228758169934641,47.72
carpesa,46.82885137284718,97.5548060708263,90.58823529411765,7.4074074074074066,0.0,50.82
borboto,41.28065879331086,98.4822934232715,50.0,5.555555555555555,0.0,41.13
benifaraig,46.82885137284718,97.04890387858347,50.0,1.8518518518518516,0.0,41.49
torrefiel,46.82885137284718,50.168634064080955,50.0,57.407407407407405,26.143790849673206,47.14
tormos,46.82885137284718,82.37774030354132,50.0,25.92592592592593,8.169934640522877,44.59
marxalenes,46.82885137284718,73.60876897133221,50.0,38.888888888888886,20.915032679738566,47.34
el calvari,41.28065879331086,90.72512647554805,50.0,5.555555555555555,1.6339869281045756,39.82
morvedre,46.82885137284718,74.45193929173693,70.58823529411764,25.92592592592593,4.901960784313726,46.64
trinitat,46.82885137284718,64.75548060708263,74.11764705882351,35.18518518518518,19.607843137254903,49.46
el carme,31.406551678620033,68.63406408094436,50.0,83.33333333333334,27.77777777777778,52.41
el botanic,31.406551678620033,68.29679595278246,50.0,53.70370370370371,5.228758169934641,43.04
exposicio,46.82885137284718,71.33220910623946,50.0,59.25925925925925,35.947712418300654,53.22
la xerea,46.82885137284718,76.22259696458684,82.35294117647058,74.07407407407408,14.705882352941178,60.44
el mercat,31.406551678620033,74.70489038785834,50.0,27.77777777777778,6.209150326797387,39.28
el pilar,31.406551678620033,78.66779089376054,50.0,66.66666666666666,0.0,46.92
el pla del remei,31.406551678620033,75.71669477234401,73.52941176470587,42.592592592592595,37.58169934640523,51.86
l'illa perduda,59.256523693034204,81.78752107925801,50.0,31.481481481481477,13.398692810457518,49.48
arrancapins,30.216470071232493,18.12816188870152,50.0,57.407407407407405,57.18954248366013,41.24
la roqueta,31.406551678620033,76.47554806070826,50.0,25.92592592592593,11.437908496732026,40.05
